d_stamp,t_stamp,s9_id,depth,temperature,threshold,const_err
2017-07-26,00:00:00,A00E,68,21.15,,
2017-07-26,00:00:00,A00D,50,22.81,,
2017-07-26,00:00:00,A015,23,27.62,,
2017-07-26,00:00:00,A00A,59,21.58,,
2017-07-26,00:00:00,A016,5,29.66,,
2017-07-26,00:00:00,A00C,77,20.38,,
2017-07-26,00:00:00,A00H,32,24.81,,
2017-07-26,00:00:00,A00B,14,28.57,,
2017-07-26,00:30:00,A00E,68,21.13,,
2017-07-26,00:30:00,A00D,50,22.85,,
2017-07-26,00:30:00,A015,23,27.47,,
2017-07-26,00:30:00,A00A,59,21.65,,
2017-07-26,00:30:00,A016,5,29.71,,
2017-07-26,00:30:00,A00C,77,20.22,,
2017-07-26,00:30:00,A00H,32,24.84,,
2017-07-26,00:30:00,A00B,14,28.77,,
2017-07-26,01:00:00,A00E,68,21.17,,
2017-07-26,01:00:00,A00D,50,23.4,,
2017-07-26,01:00:00,A015,23,27.37,,
2017-07-26,01:00:00,A00A,59,21.7,,
2017-07-26,01:00:00,A016,5,29.77,,
2017-07-26,01:00:00,A00C,77,20.15,,
2017-07-26,01:00:00,A00H,32,24.84,,
2017-07-26,01:00:00,A00B,14,29,,
2017-07-26,01:30:00,A00E,68,21.17,,
2017-07-26,01:30:00,A00D,50,23.37,,
2017-07-26,01:30:00,A015,23,27.35,,
2017-07-26,01:30:00,A00A,59,21.62,,
2017-07-26,01:30:00,A016,5,29.8,,
2017-07-26,01:30:00,A00C,77,20.07,,
2017-07-26,01:30:00,A00H,32,24.91,,
2017-07-26,01:30:00,A00B,14,29.15,,
2017-07-26,02:00:00,A00E,68,21.21,,
2017-07-26,02:00:00,A00D,50,23.31,,
2017-07-26,02:00:00,A015,23,26.99,,
2017-07-26,02:00:00,A00A,59,21.77,,
2017-07-26,02:00:00,A00H,32,24.87,,
2017-07-26,02:00:00,A00C,77,20.14,,
2017-07-26,02:00:00,A016,5,29.85,,
2017-07-26,02:00:00,A00B,14,29.47,,
2017-07-26,02:30:00,A00E,68,21.29,,
2017-07-26,02:30:00,A00D,50,23.39,,
2017-07-26,02:30:00,A015,23,26.75,,
2017-07-26,02:30:00,A00A,59,21.88,,
2017-07-26,02:30:00,A016,5,29.86,,
2017-07-26,02:30:00,A00C,77,20.18,,
2017-07-26,02:30:00,A00H,32,24.85,,
2017-07-26,02:30:00,A00B,14,29.42,,
2017-07-26,03:00:00,A00E,68,21.4,,
2017-07-26,03:00:00,A00D,50,23.47,,
2017-07-26,03:00:00,A015,23,26.84,,
2017-07-26,03:00:00,A00A,59,21.94,,
2017-07-26,03:00:00,A00H,32,24.82,,
2017-07-26,03:00:00,A00C,77,20.14,,
2017-07-26,03:00:00,A016,5,29.87,,
2017-07-26,03:00:00,A00B,14,29.44,,
2017-07-26,03:30:00,A00E,68,21.41,,
2017-07-26,03:30:00,A00D,50,23.64,,
2017-07-26,03:30:00,A015,23,26.93,,
2017-07-26,03:30:00,A00A,59,21.99,,
2017-07-26,03:30:00,A00H,32,24.83,,
2017-07-26,03:30:00,A00C,77,20.17,,
2017-07-26,03:30:00,A016,5,29.86,,
2017-07-26,03:30:00,A00B,14,29.05,,
2017-07-26,04:00:00,A00E,68,21.42,,
2017-07-26,04:00:00,A00D,50,23.56,,
2017-07-26,04:00:00,A015,23,27.03,,
2017-07-26,04:00:00,A00A,59,22.01,,
2017-07-26,04:00:00,A00H,32,24.84,,
2017-07-26,04:00:00,A00C,77,20.14,,
2017-07-26,04:00:00,A016,5,29.84,,
2017-07-26,04:00:00,A00B,14,28.85,,
2017-07-26,04:30:00,A00E,68,21.35,,
2017-07-26,04:30:00,A00D,50,23.69,,
2017-07-26,04:30:00,A015,23,26.91,,
2017-07-26,04:30:00,A00A,59,22.04,,
2017-07-26,04:30:00,A016,5,29.79,,
2017-07-26,04:30:00,A00C,77,19.82,,
2017-07-26,04:30:00,A00H,32,24.84,,
2017-07-26,04:30:00,A00B,14,28.82,,
2017-07-26,05:00:00,A00E,68,21.33,,
2017-07-26,05:00:00,A00D,50,23.72,,
2017-07-26,05:00:00,A015,23,26.87,,
2017-07-26,05:00:00,A00A,59,22.06,,
2017-07-26,05:00:00,A016,5,29.74,,
2017-07-26,05:00:00,A00C,77,19.81,,
2017-07-26,05:00:00,A00H,32,24.82,,
2017-07-26,05:00:00,A00B,14,28.76,,
2017-07-26,05:30:00,A00E,68,21.36,,
2017-07-26,05:30:00,A00D,50,23.7,,
2017-07-26,05:30:00,A015,23,26.78,,
2017-07-26,05:30:00,A00A,59,22.08,,
2017-07-26,05:30:00,A00H,32,24.85,,
2017-07-26,05:30:00,A016,5,29.74,,
2017-07-26,05:30:00,A00B,14,28.79,,
2017-07-26,06:00:00,A00E,68,21.29,,
2017-07-26,06:00:00,A00D,50,23.68,,
