d_stamp,t_stamp,temperature,humidity,dewpoint,wind_direction,wind_speed,pressure,threshold,const_err
2017-07-26,00:05:09,28.1,86.1,25.5,158,1.31,1004.9,,
2017-07-26,00:35:13,28.1,86.1,25.6,181,1.62,1005,,
2017-07-26,01:05:05,28.1,86.4,25.7,156,1.5,1005,,
2017-07-26,01:35:13,28.1,84.6,25.2,188,1.26,1005.2,,
2017-07-26,02:05:14,27.9,85.2,25.2,150,1.68,1005.3,,
2017-07-26,02:35:13,27.9,85.3,25.2,135,2,1005.4,,
2017-07-26,03:05:11,27.9,88,25.7,116,2.02,1005.6,,
2017-07-26,03:35:05,27.7,85.6,25.1,103,3.06,1005.7,,
2017-07-26,04:05:11,27.8,86,25.3,102,2.51,1005.9,,
2017-07-26,04:34:57,27.8,86.9,25.5,95,2.99,1006.1,,
2017-07-26,05:05:34,27.9,85.4,25.2,107,2.52,1006.2,,
2017-07-26,05:35:03,28,84,25,107,2.07,1006.2,,
2017-07-26,06:05:17,28,85.4,25.4,99,3.12,1006.2,,
2017-07-26,06:35:11,28.1,84.7,25.3,104,3.6,1006.2,,
2017-07-26,07:05:11,28.2,85.2,25.5,118,3.17,1006.3,,
2017-07-26,07:35:01,28.2,84.5,25.4,107,2.68,1006.2,,
2017-07-26,08:05:12,28.3,85.4,25.6,117,4.82,1006.3,,
2017-07-26,08:35:26,28.3,86.3,25.8,122,4.18,1006.2,,
2017-07-26,09:05:08,28.5,85.4,25.8,107,3.53,1006.1,,
2017-07-26,09:35:06,28.5,86.2,25.9,105,2.72,1006,,
2017-07-26,10:05:10,28.5,84.1,25.6,101,4.95,1006.1,,
2017-07-26,10:35:23,28.6,84.7,25.8,106,3.91,1005.8,,
2017-07-26,11:05:09,28.7,82.2,25.4,125,5.01,1005.8,,
2017-07-26,11:35:04,29,82,25.6,124,2.8,1005.6,,
2017-07-26,12:05:14,29,84.2,26.1,77,3.1,1005.7,,
2017-07-26,12:35:17,29,82.9,25.8,102,4.85,1005.9,,
2017-07-26,13:05:11,29.1,86.5,26.6,105,4.39,1005.9,,
2017-07-26,13:35:04,29,85.2,26.3,102,5.7,1005.7,,
2017-07-26,14:05:11,29,83,25.8,124,5.43,1005.6,,
2017-07-26,14:35:22,29,82.6,25.8,112,5.32,1005.3,,
2017-07-26,15:05:12,29.1,82.2,25.8,112,4.15,1005.4,,
2017-07-26,15:35:12,29,80.2,25.3,100,5.53,1005.4,,
2017-07-26,16:05:10,28.9,81.9,25.5,120,5.24,1005.4,,
2017-07-26,16:35:17,28.8,83.5,25.8,53,4.39,1005.6,,
2017-07-26,17:05:02,28.7,83.2,25.6,94,4.2,1005.6,,
2017-07-26,17:35:15,28.7,82.1,25.4,116,3.53,1005.6,,
2017-07-26,18:05:06,28.7,82.8,25.5,54,3.52,1005.8,,
2017-07-26,18:35:15,28.6,83.9,25.7,45,2.94,1006.2,,
2017-07-26,19:05:12,28.7,85.7,26.1,82,3.09,1006.2,,
2017-07-26,19:35:18,28.6,85.1,25.9,48,5,1006.1,,
2017-07-26,20:05:05,28.6,84.4,25.7,19,3.45,1006.1,,
2017-07-26,20:35:13,28.5,83.3,25.4,40,5.12,1006,,
2017-07-26,21:05:06,28.5,83.1,25.4,29,5.19,1005.8,,
2017-07-26,21:35:13,28.5,82.7,25.3,37,4.25,1005.6,,
2017-07-26,22:05:16,28.5,83.7,25.5,27,4.3,1005.4,,
2017-07-26,22:35:14,28.6,83.6,25.5,21,2.44,1005.3,,
2017-07-26,23:05:13,28.5,81.9,25.1,14,4.11,1005.2,,
2017-07-26,23:35:12,28.5,83.9,25.5,196,3.58,1005,,
2017-07-27,00:05:13,28.4,84.7,25.6,228,3.66,1004.9,,
2017-07-27,00:35:03,28.4,85.7,25.7,185,3.55,1005,,
2017-07-27,01:05:22,28.3,87.2,26,175,2.67,1005.3,,
2017-07-27,01:35:13,28.3,86.2,25.8,201,1.09,1005.7,,
2017-07-27,02:05:11,28.1,86.9,25.7,99,2.46,1005.7,,
2017-07-27,02:35:12,28,87,25.6,104,1.86,1005.8,,
2017-07-27,03:05:08,27.9,86.8,25.5,74,3.15,1005.9,,
2017-07-27,03:35:02,27.8,86.2,25.3,76,4.5,1006.1,,
2017-07-27,04:05:33,28,85.8,25.4,85,4.76,1006.3,,
2017-07-27,04:35:12,28,86.1,25.4,74,3.67,1006.6,,
2017-07-27,05:05:09,28,84.2,25.1,72,4.01,1006.7,,
2017-07-27,05:35:13,28.1,84,25.2,72,4.49,1007,,
2017-07-27,06:05:07,28.2,83.7,25.2,66,5.11,1007.1,,
2017-07-27,06:35:17,28.3,83.6,25.3,57,3.94,1007.2,,
2017-07-27,07:05:10,28.4,83.9,25.4,68,3.15,1007.1,,
2017-07-27,07:35:12,28.5,82.5,25.2,51,4.46,1007.2,,
2017-07-27,08:05:15,28.5,82.6,25.3,74,3.76,1007,,
2017-07-27,08:35:07,28.6,83.1,25.4,81,4.52,1007.1,,
2017-07-27,09:05:18,28.7,83,25.5,82,3.78,1007,,
2017-07-27,09:35:06,28.9,83.9,25.9,77,3.23,1007,,
2017-07-27,10:05:19,28.9,81.2,25.4,72,3.67,1006.8,,
2017-07-27,10:35:07,28.9,83.4,25.8,108,3.55,1006.7,,
